Label	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	rel_flux_SNR_T1	rel_flux_SNR_C2	tot_C_cnts	tot_C_err	RA_T1	DEC_T1	Source-Sky_T1	Source_Error_T1	Source_AMag_T1	Source_AMag_Err_T1	Peak_T1	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_AMag_C2	Source_AMag_Err_C2	Peak_C2
W Ursae Majoris_60sec_2x2__0025_Processed_I.fits	65220	61149.64628472226	2461149.6462847223	2461149.6459375	2461149.6469208314	2461149.647708791	1.0899859682775137	66.52049368191489	-5	NaN	9.7292975	55.95251944444445	1.8234954411649675	0	0.0006635075940892	0	2748.2661199500008	0	14932770.882173348	4504.895178168594	9.729312537692524	55.95238426683781	27229839.62760407	5539.677798391656	11.047738295270033	0.0003949903954551	59264	9.708083878407908	56.18728100170913	14932770.882173348	4504.895178168594	11.7	0.0003274938192372	65220
W Ursae Majoris_60sec_2x2__0026_Processed_I.fits	65220	61149.64703703718	2461149.647037037	2461149.646689815	2461149.6476730895	2461149.648461049	1.0905171468075874	66.45612359522602	-4.9	NaN	9.7292975	55.95251944444445	1.8398049077957845	0	0.0006784977486292	0	2711.585869684792	0	14585857.178761888	4468.328831396178	9.729311812980717	55.95239919406956	26835131.621894497	5509.783493778142	11.038070567421578	0.0004003325371054	59264	9.708082793148945	56.18729601640415	14585857.178761888	4468.328831396178	11.7	0.0003325607381262	65220
W Ursae Majoris_60sec_2x2__0027_Processed_I.fits	65160	61149.64780092612	2461149.647800926	2461149.647453704	2461149.648436921	2461149.64922488	1.0910694890321	66.38943054384528	-5	NaN	9.7292975	55.95251944444445	1.849448938878175	0	0.0006796674433521	0	2721.108620058149	0	14653158.563138945	4478.359003806683	9.729311667281884	55.952407978928484	27100268.555810966	5530.588559046046	11.032394136364257	0.0003989317967952	59264	9.708084325512647	56.1872838457053	14653158.563138945	4478.359003806683	11.7	0.0003317764984314	65160
W Ursae Majoris_60sec_2x2__0028_Processed_I.fits	65220	61149.64855324058	2461149.6485532406	2461149.6482060184	2461149.649189179	2461149.649977138	1.0916262823363112	66.32244731742851	-4.9	NaN	9.7292975	55.95251944444445	1.8477476691304549	0	0.0006808645568093	0	2713.8256069452095	0	14589111.858222917	4469.331106207974	9.729311366357315	55.95241387388621	26956997.43071487	5520.039965141316	11.033393342241233	0.000400002201011	59264	9.708082542123842	56.18729590284209	14589111.858222917	4469.331106207974	11.7	0.0003325611260821	65220
W Ursae Majoris_60sec_2x2__0029_Processed_I.fits	65220	61149.649305555504	2461149.6493055555	2461149.6489583333	2461149.649941437	2461149.650729396	1.092195824022104	66.25418503377307	-4.9	NaN	9.7292975	55.95251944444445	1.839918423787436	0	0.0006727357543964	0	2734.979390887708	0	14786982.929304464	4490.761097815099	9.729313180622777	55.95240543360783	27206842.32385759	5539.517334932043	11.03800357954728	0.0003969089368637	59264	9.708083436689437	56.18728386993282	14786982.929304464	4490.761097815099	11.7	0.0003296846763149	65220
W Ursae Majoris_60sec_2x2__0030_Processed_I.fits	65160	61149.65005787043	2461149.6500578704	2461149.649710648	2461149.650693695	2461149.651481654	1.0927781399260228	66.18465553191173	-4.9	NaN	9.7292975	55.95251944444445	1.8592116427665084	0	0.0006836369194157	0	2719.589287769168	0	14631514.170747096	4479.164382349019	9.729311645032348	55.952411140594634	27203081.497556154	5540.942385271955	11.026677924099223	0.0003991546240298	59264	9.708085571849683	56.18728642306435	14631514.170747096	4479.164382349019	11.7	0.0003323269652512	65160
W Ursae Majoris_60sec_2x2__0031_Processed_I.fits	65220	61149.650821759365	2461149.6508217594	2461149.650474537	2461149.6514575263	2461149.652245485	1.093382512553651	66.11277195921237	-4.9	NaN	9.7292975	55.95251944444445	1.8508964246636994	0	0.000680345141676	0	2720.5256733428814	0	14656350.097358637	4480.953037474945	9.729312692866005	55.952407909663535	27127385.993820563	5535.482364508328	11.03154470873036	0.0003990172630913	59264	9.708083926338508	56.18728067659099	14656350.097358637	4480.953037474945	11.7	0.0003318963687521	65220
W Ursae Majoris_60sec_2x2__0032_Processed_I.fits	65220	61149.651574073825	2461149.651574074	2461149.6512268516	2461149.652209784	2461149.652997743	1.0939906550560707	66.0407247499241	-4.9	NaN	9.7292975	55.95251944444445	1.8327814102978142	0	0.0006684705025395	0	2741.75360518542	0	14851327.214978028	4494.489691382633	9.729312399313578	55.952407758106034	27219236.43786174	5541.089511444293	11.042223321994845	0.0003959284490454	59264	9.708084138840393	56.18728417251222	14851327.214978028	4494.489691382633	11.7	0.0003285290170576	65220
W Ursae Majoris_60sec_2x2__0033_Processed_I.fits	65160	61149.65232638875	2461149.6523263888	2461149.6519791665	2461149.652962042	2461149.6537500015	1.0946116547753655	65.96744632687893	-4.9	NaN	9.7292975	55.95251944444445	1.8534415911652014	0	0.0006836628170859	0	2711.0463591767334	0	14576173.925235646	4473.582561865645	9.729311236792809	55.952414670159826	27016086.993089475	5527.712410118286	11.030052739131014	0.0004004121904056	58977	9.708081843276608	56.18728731835739	14576173.925235646	4473.582561865645	11.7	0.0003331728461323	65160
W Ursae Majoris_60sec_2x2__0034_Processed_I.fits	65220	61149.65309027769	2461149.6530902777	2461149.6527430555	2461149.6537258737	2461149.6545138326	1.0952553927957998	65.89179325440202	-5	NaN	9.7292975	55.95251944444445	1.8589512378281343	0	0.0006830259937185	0	2721.640545051244	0	14644856.030531298	4479.077067818658	9.729312116562653	55.95238944027165	27224073.245770976	5543.252954509434	11.026830005155935	0.0003988538427754	59264	9.708083495749964	56.187285972523206	14644856.030531298	4479.077067818658	11.7	0.0003320177813682	65220
W Ursae Majoris_60sec_2x2__0035_Processed_I.fits	65220	61149.65385416662	2461149.6538541666	2461149.6535069444	2461149.654489705	2461149.655277664	1.095912446451105	65.81489601210966	-4.9	NaN	9.7292975	55.95251944444445	1.8547713292101784	0	0.0006805667786426	0	2725.333336001893	0	14676974.125128586	4480.223767004477	9.729314300108738	55.95239608252413	27222430.806848142	5542.628339493812	11.02927406496577	0.0003983135001672	59264	9.708083554273806	56.18728331594227	14676974.125128586	4480.223767004477	11.7	0.0003313761287543	65220
W Ursae Majoris_60sec_2x2__0036_Processed_I.fits	65160	61149.65460648155	2461149.6546064815	2461149.6542592593	2461149.655241963	2461149.656029922	1.0965725897660643	65.7379602461228	-4.9	NaN	9.7292975	55.95251944444445	1.8704781421818952	0	0.0006895910159689	0	2712.4456364238767	0	14523553.017429046	4462.379782321845	9.729310537664086	55.95241299372165	27165988.46592094	5535.130306381993	11.020118406161437	0.000400205666665	58977	9.70808285976158	56.18728176171566	14523553.017429046	4462.379782321845	11.7	0.0003335425652756	65160
W Ursae Majoris_60sec_2x2__0037_Processed_I.fits	65220	61149.655370370485	2461149.6553703705	2461149.6550231483	2461149.656005794	2461149.656793753	1.0972561662775708	65.65863135749781	-4.9	NaN	9.7292975	55.95251944444445	1.8426005816406963	0	0.0006704129845653	0	2748.4559876706926	0	14878547.980411036	4496.416306792193	9.729312282712353	55.952401097956034	27415221.162674382	5554.565794723407	11.036421990206494	0.0003949631138516	59264	9.708084547281528	56.18728867399974	14878547.980411036	4496.416306792193	11.7	0.0003280686027301	65220
W Ursae Majoris_60sec_2x2__0038_Processed_I.fits	65220	61149.65613425942	2461149.6561342594	2461149.655787037	2461149.6567696254	2461149.6575575843	1.0979531537937743	65.5780965081896	-4.9	NaN	9.7292975	55.95251944444445	1.8540765872616096	0	0.000674708562589	0	2747.9665889331577	0	14834487.075377544	4488.771249583458	9.729311983450835	55.95240154241749	27504275.170492455	5560.103914753908	11.02968082550831	0.000395033441959	59264	9.708083049109558	56.18728080989559	14834487.075377544	4488.771249583458	11.7	0.0003284835012707	65220
W Ursae Majoris_60sec_2x2__0039_Processed_I.fits	65160	61149.65689814836	2461149.6568981484	2461149.656550926	2461149.6575334566	2461149.658321416	1.0986635855980762	65.49636856598286	-4.9	NaN	9.7292975	55.95251944444445	1.8720855537982835	0	0.0006859642675478	0	2729.129843002869	0	14653001.09910459	4474.494758198217	9.729312229585295	55.9524061063694	27431671.677424073	5555.474913734077	11.019185770013095	0.0003977595056285	59264	9.708082684745223	56.18728123122476	14653001.09910459	4474.494758198217	11.7	0.000331493823564	65160
W Ursae Majoris_60sec_2x2__0040_Processed_I.fits	65220	61149.65765046282	2461149.657650463	2461149.6573032406	2461149.6582857147	2461149.6590736737	1.0993764261984307	65.41472539057203	-4.9	NaN	9.7292975	55.95251944444445	1.8710125983713362	0	0.0006795972058798	0	2753.1199101226653	0	14848236.601772973	4492.2938994848455	9.72931310419968	55.952393533529815	27781237.74551563	5583.752997255354	11.01980822047401	0.0003942941481138	59264	9.708083534250612	56.18728241449335	14848236.601772973	4492.2938994848455	11.7	0.00032843687635	65220
W Ursae Majoris_60sec_2x2__0041_Processed_I.fits	65220	61149.65840277774	2461149.6584027777	2461149.6580555555	2461149.659037973	2461149.659825932	1.1001023732243151	65.33194978233455	-4.9	NaN	9.7292975	55.95251944444445	1.8814342423545807	0	0.0006905325637044	0	2724.6133509788833	0	14603637.237746987	4471.290759047488	9.729312163091256	55.95240498395597	27475783.162021644	5560.908782877308	11.013777390053898	0.0003984187360689	59264	9.708083629207833	56.18728248087532	14603637.237746987	4471.290759047488	11.7	0.0003323760473514	65220
W Ursae Majoris_60sec_2x2__0042_Processed_I.fits	65160	61149.65916666668	2461149.6591666667	2461149.6588194445	2461149.659801804	2461149.660589763	1.1008529332693604	65.24675474933032	-5	NaN	9.7292975	55.95251944444445	1.88351600540806	0	0.0006980123185445	0	2698.3993768699347	0	14385835.481591797	4449.1696519171155	9.729311589653964	55.95239756000517	27095951.380745314	5532.246424931474	11.012576712436138	0.000402288513045	58977	9.708082226413806	56.187280375664756	14385835.481591797	4449.1696519171155	11.7	0.0003357384239704	65160
W Ursae Majoris_60sec_2x2__0043_Processed_I.fits	65220	61149.659918981604	2461149.6599189816	2461149.6595717594	2461149.660554062	2461149.661342021	1.1016053970260509	65.16173444338254	-4.9	NaN	9.7292975	55.95251944444445	1.8804997954523297	0	0.0006967851614876	0	2698.8229649403024	0	14390672.30218866	4448.3601589170175	9.729311742150692	55.95239479844219	27061656.32068728	5528.95155563178	11.01431677370277	0.0004022253843936	59264	9.708084140572597	56.1872872093967	14390672.30218866	4448.3601589170175	11.7	0.0003355645419068	65220
