HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459203.50707,2020-12-20.0074429,bm,1.55,15.958,>15.958,99.990,0.560,0.301,g
2459204.56748,2020-12-21.0678491,bE,1.54,16.102,>16.102,99.990,0.490,0.263,g
2459204.56877,2020-12-21.0691423,bE,1.52,15.995,>15.995,99.990,0.397,0.290,g
2459204.57007,2020-12-21.0704491,bE,1.52,15.982,>15.982,99.990,0.425,0.294,g
2459204.61498,2020-12-21.1153487,bE,1.46,16.052,>16.052,99.990,0.399,0.276,g
2459204.61626,2020-12-21.1166331,bE,1.48,16.007,>16.007,99.990,0.334,0.287,g
2459204.61758,2020-12-21.1179457,bE,1.49,16.018,>16.018,99.990,0.374,0.284,g
2459204.64054,2020-12-21.1409130,bi,1.44,15.994,>15.994,99.990,0.562,0.291,g
2459204.64177,2020-12-21.1421434,bi,1.42,15.854,>15.854,99.990,0.339,0.331,g
2459204.64301,2020-12-21.1433803,bi,1.44,15.951,>15.951,99.990,0.614,0.302,g
2459206.28352,2020-12-22.7838944,bm,1.42,15.820,>15.820,99.990,0.169,0.341,g
2459206.28475,2020-12-22.7851256,bm,1.61,15.701,>15.701,99.990,-0.387,0.381,g
2459206.28598,2020-12-22.7863568,bm,1.53,15.818,>15.818,99.990,0.797,0.342,g
2459206.38133,2020-12-22.8817047,bm,1.53,15.929,>15.929,99.990,0.360,0.309,g
2459206.38257,2020-12-22.8829465,bm,1.53,15.927,>15.927,99.990,0.278,0.309,g
2459206.38381,2020-12-22.8841908,bm,1.48,15.964,>15.964,99.990,0.453,0.299,g
2459207.59269,2020-12-24.0930826,bE,1.52,15.895,>15.895,99.990,0.190,0.319,g
2459207.59400,2020-12-24.0943848,bE,1.52,15.893,>15.893,99.990,0.339,0.319,g
2459207.59529,2020-12-24.0956707,bE,1.52,15.899,>15.899,99.990,0.251,0.317,g
2459208.52963,2020-12-25.0300216,bE,1.55,15.739,>15.739,99.990,-0.776,0.368,g
2459208.53095,2020-12-25.0313334,bE,1.45,15.634,>15.634,99.990,0.856,0.405,g
2459208.53224,2020-12-25.0326251,bE,1.53,15.682,>15.682,99.990,0.703,0.388,g
2459208.70211,2020-12-25.2024982,bi,1.39,15.919,>15.919,99.990,0.479,0.311,g
2459208.70334,2020-12-25.2037260,bi,1.47,15.886,>15.886,99.990,0.795,0.321,g
2459208.70455,2020-12-25.2049429,bi,1.54,15.920,>15.920,99.990,0.335,0.311,g
2459208.72455,2020-12-25.2249386,bi,1.47,15.839,>15.839,99.990,0.631,0.335,g
2459208.72578,2020-12-25.2261686,bi,1.49,15.783,>15.783,99.990,0.181,0.353,g
2459208.72702,2020-12-25.2274091,bi,1.41,15.819,>15.819,99.990,0.357,0.342,g
2459209.58628,2020-12-26.0866670,bi,1.51,15.978,>15.978,99.990,-0.024,0.295,g
2459209.58750,2020-12-26.0878969,bi,1.62,15.967,>15.967,99.990,0.351,0.298,g
2459209.58873,2020-12-26.0891259,bi,1.53,15.890,>15.890,99.990,0.323,0.320,g
2459211.84577,2020-12-28.3461717,bE,1.55,16.027,>16.027,99.990,0.506,0.282,g
2459211.84706,2020-12-28.3474615,bE,1.41,16.066,>16.066,99.990,0.358,0.272,g
2459211.84836,2020-12-28.3487590,bE,1.46,16.000,>16.000,99.990,0.467,0.289,g
2459212.39178,2020-12-28.8921886,bm,1.54,15.815,>15.815,99.990,0.656,0.343,g
2459212.39301,2020-12-28.8934163,bm,1.57,15.736,>15.736,99.990,0.201,0.369,g
2459212.39431,2020-12-28.8947181,bm,1.52,15.828,>15.828,99.990,0.233,0.339,g
2459212.43043,2020-12-28.9308350,bm,1.41,15.909,>15.909,99.990,0.467,0.315,g
2459212.43183,2020-12-28.9322317,bm,1.50,15.629,>15.629,99.990,0.462,0.407,g
2459212.43305,2020-12-28.9334488,bm,1.55,15.733,>15.733,99.990,0.656,0.370,g
2459213.31510,2020-12-29.8155086,bm,1.51,15.710,>15.710,99.990,-0.150,0.378,g
2459213.31633,2020-12-29.8167327,bm,1.45,15.720,>15.720,99.990,0.154,0.374,g
2459213.31755,2020-12-29.8179560,bm,1.54,15.541,>15.541,99.990,0.616,0.441,g
2459213.55346,2020-12-30.0538672,bi,2.31,15.627,>15.627,99.990,0.186,0.408,g
2459213.55469,2020-12-30.0550950,bi,2.34,15.663,>15.663,99.990,-0.139,0.394,g
2459213.55592,2020-12-30.0563231,bi,2.24,15.525,>15.525,99.990,0.591,0.448,g
2459213.82217,2020-12-30.3225752,bE,1.57,15.654,>15.654,99.990,0.303,0.398,g
2459213.82346,2020-12-30.3238671,bE,1.50,15.666,>15.666,99.990,0.817,0.393,g
2459213.82476,2020-12-30.3251643,bE,1.55,15.715,>15.715,99.990,0.509,0.376,g
2459214.32307,2020-12-30.8234881,bm,2.24,15.689,>15.689,99.990,0.196,0.385,g
2459214.32429,2020-12-30.8247105,bm,2.20,15.825,>15.825,99.990,0.165,0.340,g
2459214.32552,2020-12-30.8259336,bm,2.23,15.688,>15.688,99.990,-0.334,0.385,g
2459214.39833,2020-12-30.8987510,bm,1.62,15.781,>15.781,99.990,0.651,0.354,g
2459214.39957,2020-12-30.8999846,bm,1.59,15.773,>15.773,99.990,0.095,0.356,g
2459214.40079,2020-12-30.9012098,bm,1.55,15.707,>15.707,99.990,0.102,0.379,g
2459214.64613,2020-12-31.1465424,bi,1.48,15.885,>15.885,99.990,0.793,0.321,g
2459214.64737,2020-12-31.1477820,bi,1.51,15.731,>15.731,99.990,-0.252,0.370,g
2459214.64861,2020-12-31.1490208,bi,1.44,15.771,>15.771,99.990,0.569,0.357,g
2459215.55241,2021-01-01.0528278,bE,1.45,15.916,>15.916,99.990,0.294,0.312,g
2459215.55371,2021-01-01.0541226,bE,1.46,16.012,>16.012,99.990,0.543,0.286,g
2459215.55499,2021-01-01.0554083,bE,1.43,15.991,>15.991,99.990,0.504,0.292,g
2459216.35955,2021-01-01.8599597,bm,1.63,15.919,>15.919,99.990,-0.617,0.312,g
2459216.36102,2021-01-01.8614300,bm,1.58,15.920,>15.920,99.990,0.590,0.311,g
2459216.36249,2021-01-01.8629060,bm,1.61,15.857,>15.857,99.990,0.253,0.330,g
2459216.60106,2021-01-02.1014739,bE,1.46,15.970,>15.970,99.990,0.398,0.297,g
2459216.60235,2021-01-02.1027637,bE,1.53,15.885,>15.885,99.990,0.752,0.321,g
2459216.60364,2021-01-02.1040526,bE,1.48,16.066,>16.066,99.990,0.355,0.272,g
2459217.36387,2021-01-02.8642876,bm,1.52,16.077,>16.077,99.990,0.753,0.269,g
2459217.36510,2021-01-02.8655178,bm,1.52,16.053,>16.053,99.990,0.528,0.275,g
2459217.36632,2021-01-02.8667388,bm,1.46,15.921,>15.921,99.990,0.205,0.311,g
2459217.37128,2021-01-02.8717035,bm,1.52,15.917,>15.917,99.990,0.556,0.312,g
2459217.37250,2021-01-02.8729195,bm,1.53,16.078,>16.078,99.990,0.535,0.269,g
2459217.37373,2021-01-02.8741506,bm,1.58,15.965,>15.965,99.990,0.111,0.299,g
2459217.61424,2021-01-03.1146674,bi,1.43,15.910,>15.910,99.990,0.748,0.314,g
2459217.61547,2021-01-03.1158973,bi,1.42,16.039,>16.039,99.990,0.502,0.279,g
2459217.61670,2021-01-03.1171206,bi,1.46,15.858,>15.858,99.990,0.397,0.329,g
2459218.82751,2021-01-04.3279321,bE,1.59,15.954,>15.954,99.990,0.355,0.302,g
2459218.82881,2021-01-04.3292302,bE,1.51,15.889,>15.889,99.990,0.635,0.320,g
2459218.83010,2021-01-04.3305280,bE,1.61,16.163,>16.163,99.990,-0.166,0.249,g
2459219.48738,2021-01-04.9878060,bm,1.49,15.982,>15.982,99.990,0.005,0.294,g
2459219.48860,2021-01-04.9890256,bm,1.54,15.906,>15.906,99.990,0.470,0.315,g
2459219.48982,2021-01-04.9902461,bm,1.47,15.940,>15.940,99.990,0.534,0.306,g
2459219.77716,2021-01-05.2775873,bE,1.49,16.002,>16.002,99.990,0.277,0.289,g
2459219.77849,2021-01-05.2789114,bE,1.45,15.940,>15.940,99.990,0.578,0.306,g
2459219.77979,2021-01-05.2802192,bE,1.51,15.911,>15.911,99.990,0.133,0.314,g
2459220.67490,2021-01-06.1753313,bi,1.42,15.968,>15.968,99.990,0.543,0.298,g
2459220.67613,2021-01-06.1765576,bi,1.45,15.901,>15.901,99.990,0.759,0.317,g
2459220.67737,2021-01-06.1777969,bi,1.36,15.925,>15.925,99.990,0.638,0.310,g
2459221.39865,2021-01-06.8990868,bm,1.54,15.936,>15.936,99.990,0.063,0.307,g
2459221.39989,2021-01-06.9003192,bm,1.60,99.990,99.990,99.990,99.990,99.990,g
2459221.40111,2021-01-06.9015435,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2459221.43225,2021-01-06.9326837,bm,1.47,99.990,99.990,99.990,99.990,99.990,g
2459221.43347,2021-01-06.9339059,bm,1.46,99.990,99.990,99.990,99.990,99.990,g
2459221.43474,2021-01-06.9351687,bm,1.53,99.990,99.990,99.990,99.990,99.990,g
2459221.49249,2021-01-06.9929253,bm,1.55,15.947,>15.947,99.990,0.249,0.304,g
2459221.49373,2021-01-06.9941658,bm,1.56,16.063,>16.063,99.990,0.526,0.273,g
2459221.49496,2021-01-06.9953947,bm,1.55,15.873,>15.873,99.990,0.610,0.325,g
2459222.32714,2021-01-07.8275741,bm,1.56,99.990,99.990,99.990,99.990,99.990,g
2459222.32840,2021-01-07.8288310,bm,1.52,16.085,>16.085,99.990,0.584,0.267,g
2459222.32962,2021-01-07.8300516,bm,1.52,99.990,99.990,99.990,99.990,99.990,g
2459222.55740,2021-01-08.0578395,bi,2.44,16.222,>16.222,99.990,0.151,0.236,g
2459222.55863,2021-01-08.0590693,bi,2.01,16.151,>16.151,99.990,0.302,0.252,g
2459222.55986,2021-01-08.0602937,bi,1.66,16.206,>16.206,99.990,0.428,0.239,g
2459223.32313,2021-01-08.8235759,bm,1.49,15.982,>15.982,99.990,0.520,0.294,g
2459223.32436,2021-01-08.8247952,bm,1.50,15.999,>15.999,99.990,0.405,0.289,g
2459223.32558,2021-01-08.8260203,bm,1.50,16.042,>16.042,99.990,0.397,0.278,g
2459223.56142,2021-01-09.0618531,bi,1.38,15.922,>15.922,99.990,0.455,0.311,g
