requested_flow_mL_s,turns,coil_diameter_cm,outer_h_W_m2K,prechill_tube_enabled,avg_outlet_no_rod_C,final_outlet_no_rod_C,ice_remaining_no_rod_g,pressure_ratio_no_rod,tube_length_m_no_rod,avg_outlet_with_rod_C,final_outlet_with_rod_C,ice_remaining_with_rod_g,pressure_ratio_with_rod,tube_length_m_with_rod,rod_delta_avg_C,rod_delta_final_C,rod_extra_ice_remaining_g
10.0,12.0,9.0,250.0,False,52.7436561603385,52.74365616033866,879.913626979977,1.7513881828322864,3.394844777516437,50.29061228092766,50.290612280927775,874.7239731191486,1.7513881828322864,3.394844777516437,2.453043879410842,2.4530438794108846,-5.189653860828457
8.0,12.0,9.0,250.0,False,52.7436561603385,52.74365616033866,879.913626979977,1.1845783621047166,3.394844777516437,50.29061228092766,50.290612280927775,874.7239731191486,1.1845783621047166,3.394844777516437,2.453043879410842,2.4530438794108846,-5.189653860828457
6.0,24.0,6.0,250.0,False,43.47907132629793,43.47907132629816,845.4227251038495,0.9356068854776692,4.529665511502907,41.05069053934452,41.05069053934426,840.3248888815971,0.9356068854776692,4.529665511502907,2.4283807869534044,2.428380786953902,-5.097836222252454
6.0,16.0,9.0,250.0,False,43.49970470077256,43.49970470077239,845.4995406014789,0.9349930039056744,4.52645970335525,41.07184206951107,41.07184206951119,840.4036334086906,0.9349930039056744,4.52645970335525,2.4278626312614904,2.427862631261199,-5.0959071927883315
6.0,18.0,9.0,250.0,False,40.12759675147184,40.1275967514719,832.9456003571536,1.0433397167421643,5.092267166274656,37.70100470754815,37.70100470754815,827.854423403676,1.0433397167421643,5.092267166274656,2.4265920439236908,2.4265920439237476,-5.091176953477543
8.0,18.0,9.0,250.0,False,40.12759675147184,40.1275967514719,832.9456003571536,1.7162281643004038,5.092267166274656,37.70100470754815,37.70100470754815,827.854423403676,1.7162281643004038,5.092267166274656,2.4265920439236908,2.4265920439237476,-5.091176953477543
10.0,18.0,9.0,250.0,False,40.12759675147184,40.1275967514719,832.9456003571536,2.5323332447848803,5.092267166274656,37.70100470754815,37.70100470754815,827.854423403676,2.5323332447848803,5.092267166274656,2.4265920439236908,2.4265920439237476,-5.091176953477543
10.0,14.0,7.5,250.0,False,53.63317530027023,53.63317530027043,883.2251965669437,1.7083809953730935,3.301366546553263,51.20690572173363,51.20690572173391,878.1352201121396,1.7083809953730935,3.301366546553263,2.426269578536605,2.4262695785365196,-5.089976454804173
8.0,14.0,7.5,250.0,False,53.63317530027023,53.63317530027043,883.2251965669437,1.1553000379054397,3.301366546553263,51.20690572173363,51.20690572173391,878.1352201121396,1.1553000379054397,3.301366546553263,2.426269578536605,2.4262695785365196,-5.089976454804173
8.0,10.0,7.5,750.0,False,39.88692181951747,39.88692181951753,832.0495973941902,0.8598653864219835,2.358118961823759,37.47759743225875,37.47759743225864,827.0227057877587,0.8598653864219835,2.358118961823759,2.409324387258721,2.4093243872588914,-5.026891606431491
6.0,22.0,7.5,250.0,False,39.649397786697335,39.649397786697165,831.1653248384279,1.0616451579177082,5.18786171601227,37.24726497442737,37.247264974427495,826.1652065749834,1.0616451579177082,5.18786171601227,2.4021328122699686,2.40213281226967,-5.000118263444506
10.0,22.0,7.5,250.0,False,39.649397786697335,39.649397786697165,831.1653248384279,2.576314101913661,5.18786171601227,37.24726497442737,37.247264974427495,826.1652065749834,2.576314101913661,5.18786171601227,2.4021328122699686,2.40213281226967,-5.000118263444506
8.0,22.0,7.5,250.0,False,39.649397786697335,39.649397786697165,831.1653248384279,1.7461693408723518,5.18786171601227,37.24726497442737,37.247264974427495,826.1652065749834,1.7461693408723518,5.18786171601227,2.4021328122699686,2.40213281226967,-5.000118263444506
10.0,16.0,6.0,750.0,False,32.079870331197405,32.079870331197384,802.9849116420453,1.578828114872703,3.019777007668605,29.685794953091158,29.68579495309105,798.0147902080378,1.578828114872703,3.019777007668605,2.3940753781062476,2.394075378106333,-4.970121434007524
8.0,16.0,6.0,750.0,False,32.079870331197405,32.079870331197384,802.9849116420453,1.0671033559010716,3.019777007668605,29.685794953091158,29.68579495309105,798.0147902080378,1.0671033559010716,3.019777007668605,2.3940753781062476,2.394075378106333,-4.970121434007524
