JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458077.78623,13.356,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.578,19.070,,ASASSN-17PF,VVS,STD,,,,
2458077.78838,13.365,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.582,19.035,,ASASSN-17PF,VVS,STD,,,,
2458077.79053,13.357,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.569,19.079,,ASASSN-17PF,VVS,STD,,,,
2458077.79269,13.355,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.58,Z,18.609,19.074,,ASASSN-17PF,VVS,STD,,,,
2458077.79486,13.362,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.59,Z,18.610,19.108,,ASASSN-17PF,VVS,STD,,,,
2458077.79703,13.342,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.59,Z,18.612,19.070,,ASASSN-17PF,VVS,STD,,,,
2458077.79918,13.361,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.59,Z,18.597,19.084,,ASASSN-17PF,VVS,STD,,,,
2458077.80133,13.358,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.59,Z,18.606,19.092,,ASASSN-17PF,VVS,STD,,,,
2458077.80348,13.338,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.60,Z,18.614,19.097,,ASASSN-17PF,VVS,STD,,,,
2458077.80564,13.333,0.011,,CV,HMB,,UCAC4 084-010515,UCAC4 084-010468,,STANDARD MAG: C = 13.164  K = 13.637,0,1.60,Z,18.616,19.073,,ASASSN-17PF,VVS,STD,,,,
