JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2459200.594606,16.005,0.181,,R,HMB,,UCAC4 107-004606,UCAC4 107-004508,X25747EZ,STANDARD MAG: C = 10.227  K =  8.701,0,1.479,Z,16.625,15.106,,ASASSN-20OH,VVS,STD,,,,
2459202.37,16.48,0.1,,V,MLF,,4UCAC-106-004665,,,,0,,Z,12.44,,,ASASSN-20OH,,STD,,,,
2459202.37,16.28,0.1,,I,MLF,,4UCAC-106-004665,,,,0,,Z,11.87,,,ASASSN-20OH,,STD,,,,
2459202.37,15.90,0.06,,R,MLF,,4UCAC-106-004665,,,,0,,Z,12.2,,,ASASSN-20OH,,STD,,,,
2459204.03240,15.870,0.417,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.173,Z,,13.504,,ASASSN-20OH,AAVSO,STD,,,,
2459204.03589,16.193,0.423,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.173,Z,,12.814,,ASASSN-20OH,AAVSO,STD,,,,
2459204.03832,15.665,0.379,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.172,Z,,12.410,,ASASSN-20OH,AAVSO,STD,,,,
2459204.04072,15.734,0.134,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.172,Z,,12.188,,ASASSN-20OH,AAVSO,STD,,,,
2459208.03473,15.889,0.603,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,13.294,,ASASSN-20OH,AAVSO,STD,,,,
2459208.03824,16.119,0.621,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.546,,ASASSN-20OH,AAVSO,STD,,,,
2459208.08000,15.897,0.618,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.183,Z,,13.275,,ASASSN-20OH,AAVSO,STD,,,,
2459208.08346,15.990,0.631,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.185,Z,,12.554,,ASASSN-20OH,AAVSO,STD,,,,
2459208.08587,15.505,0.547,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.186,Z,,12.052,,ASASSN-20OH,AAVSO,STD,,,,
2459208.08828,16.009,0.356,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.188,Z,,12.048,,ASASSN-20OH,AAVSO,STD,,,,
2459208.40,16.7,.0.1,,V,MLF,,4UCAC-106-004665,,,,0,,Z,12.44,,,ASASSN-20OH,,STD,,,,
2459208.40,16.14,0.1,,I,MLF,,4UCAC-106-004665,,,,0,,Z,11.87,,,ASASSN-20OH,,STD,,,,
2459208.40,16.44,0.1,,R,MLF,,4UCAC-106-004665,,,,0,,Z,12.2,,,ASASSN-20OH,,STD,,,,
2459210.03459,15.999,0.443,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,13.518,,ASASSN-20OH,AAVSO,STD,,,,
2459210.03809,16.226,0.578,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.657,,ASASSN-20OH,AAVSO,STD,,,,
2459210.04046,15.772,0.498,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.269,,ASASSN-20OH,AAVSO,STD,,,,
2459210.04295,16.391,0.178,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.222,,ASASSN-20OH,AAVSO,STD,,,,
2459221.99961,15.753,0.852,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.824,,ASASSN-20OH,AAVSO,STD,,,,
2459222.00931,16.103,0.711,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.282,,ASASSN-20OH,AAVSO,STD,,,,
2459222.01638,15.930,0.633,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.172,Z,,11.851,,ASASSN-20OH,AAVSO,STD,,,,
2459222.02087,16.217,0.471,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.173,Z,,11.834,,ASASSN-20OH,AAVSO,STD,,,,
2459222.99964,15.776,0.826,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.726,,ASASSN-20OH,AAVSO,STD,,,,
2459223.00939,16.020,0.694,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.231,,ASASSN-20OH,AAVSO,STD,,,,
2459223.01644,15.927,0.620,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.173,Z,,11.746,,ASASSN-20OH,AAVSO,STD,,,,
2459223.02090,16.207,0.466,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.174,Z,,11.773,,ASASSN-20OH,AAVSO,STD,,,,
2459223.99911,15.919,0.761,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.171,Z,,12.964,,ASASSN-20OH,AAVSO,STD,,,,
2459224.01144,16.066,0.649,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.172,Z,,12.340,,ASASSN-20OH,AAVSO,STD,,,,
2459224.01591,16.217,0.585,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.174,Z,,11.919,,ASASSN-20OH,AAVSO,STD,,,,
2459224.02041,16.868,0.410,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.175,Z,,11.873,,ASASSN-20OH,AAVSO,STD,,,,
2459225.15485,16.317,0.767,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.407,Z,,12.990,,ASASSN-20OH,AAVSO,STD,,,,
2459225.16454,16.351,0.703,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.421,Z,,12.321,,ASASSN-20OH,AAVSO,STD,,,,
2459226.99981,15.959,0.803,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.173,Z,,12.886,,ASASSN-20OH,AAVSO,STD,,,,
2459227.00953,16.333,0.639,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.174,Z,,12.395,,ASASSN-20OH,AAVSO,STD,,,,
2459227.01403,16.767,0.566,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.176,Z,,12.048,,ASASSN-20OH,AAVSO,STD,,,,
2459227.01869,17.577,0.320,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.178,Z,,12.022,,ASASSN-20OH,AAVSO,STD,,,,
2459229.09296,15.942,0.854,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.279,Z,,12.715,,ASASSN-20OH,AAVSO,STD,,,,
2459229.10272,16.256,0.714,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.288,Z,,12.283,,ASASSN-20OH,AAVSO,STD,,,,
2459229.10718,16.253,0.645,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.298,Z,,11.793,,ASASSN-20OH,AAVSO,STD,,,,
2459229.11167,17.472,0.472,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.307,Z,,11.796,,ASASSN-20OH,AAVSO,STD,,,,
2459231.99495,15.834,0.858,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.176,Z,,12.596,,ASASSN-20OH,AAVSO,STD,,,,
2459232.00465,16.344,0.710,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.178,Z,,12.158,,ASASSN-20OH,AAVSO,STD,,,,
2459233.99352,15.905,0.853,,B,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.178,Z,,12.603,,ASASSN-20OH,AAVSO,STD,,,,
2459234.00323,16.378,0.747,,V,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.180,Z,,12.238,,ASASSN-20OH,AAVSO,STD,,,,
2459234.00774,16.212,0.661,,R,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.182,Z,,11.764,,ASASSN-20OH,AAVSO,STD,,,,
2459234.01227,16.362,0.488,,I,PJAD,,ENSEMBLE,131,X25764ALW,,1,1.185,Z,,11.795,,ASASSN-20OH,AAVSO,STD,,,,
2459911.142,<15.0,,,Vis.,BNK,,150,,X25746AGS,,,,Z,,,,ASASSN-20OH,AAVSO,STD,,,,
2460285.049,<14.2,,,Vis.,BNK,,142,,X25746AGS,,,,Z,,,,ASASSN-20OH,AAVSO,STD,,,,
