HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460370.84370,2024-03-01.3427824,bD,1.53,17.298,16.669,0.123,0.781,0.088,g
2460370.84492,2024-03-01.3440184,bD,1.53,17.177,16.668,0.137,0.781,0.098,g
2460371.83499,2024-03-02.3341399,bD,1.51,17.299,16.491,0.104,0.920,0.087,g
2460371.83623,2024-03-02.3353854,bD,1.51,17.418,16.505,0.094,0.908,0.078,g
2460371.83746,2024-03-02.3366206,bD,1.48,17.335,16.698,0.122,0.760,0.085,g
2460382.82326,2024-03-13.3231593,bD,1.62,17.164,16.166,0.087,1.241,0.099,g
2460387.73712,2024-03-18.2373662,bD,1.59,16.755,16.412,0.160,0.989,0.144,g
2460387.73838,2024-03-18.2386101,bD,1.55,16.784,16.335,0.145,1.061,0.140,g
2460387.73962,2024-03-18.2398520,bD,1.56,16.764,16.280,0.140,1.116,0.143,g
2460388.74881,2024-03-19.2491070,bD,1.47,16.799,16.519,0.169,0.896,0.139,g
2460388.75005,2024-03-19.2503486,bD,1.47,16.828,16.553,0.170,0.868,0.135,g
2460388.75129,2024-03-19.2515913,bD,1.49,16.722,>16.722,99.990,0.642,0.149,g
2460389.76802,2024-03-20.2683984,bD,1.5,16.293,>16.293,99.990,0.436,0.221,g
2460389.76926,2024-03-20.2696355,bD,1.51,14.956,>14.956,99.990,0.053,0.756,g
2460390.74127,2024-03-21.2417087,bD,1.6,16.340,>16.340,99.990,0.999,0.212,g
2460390.74250,2024-03-21.2429481,bD,1.57,16.314,>16.314,99.990,1.020,0.216,g
2460390.74374,2024-03-21.2441907,bD,1.52,16.111,>16.111,99.990,1.117,0.261,g
2460391.76039,2024-03-22.2608968,bD,1.46,16.343,>16.343,99.990,1.021,0.211,g
2460391.76165,2024-03-22.2621513,bD,1.49,16.367,16.310,0.208,1.087,0.206,g
2460391.76289,2024-03-22.2633954,bD,1.46,16.493,>16.493,99.990,0.478,0.184,g
2460392.76064,2024-03-23.2612203,bD,1.63,16.114,>16.114,99.990,1.217,0.260,g
2460392.76188,2024-03-23.2624611,bD,1.65,16.384,>16.384,99.990,0.990,0.203,g
2460392.76311,2024-03-23.2636912,bD,1.65,16.227,>16.227,99.990,1.110,0.235,g
2460393.75703,2024-03-24.2576763,bD,1.6,16.388,16.139,0.175,1.272,0.202,g
2460393.75829,2024-03-24.2589321,bD,1.58,16.467,16.378,0.202,1.020,0.188,g
2460393.75955,2024-03-24.2601857,bD,1.56,16.211,>16.211,99.990,1.045,0.238,g
2460394.75339,2024-03-25.2541003,bD,1.59,16.384,>16.384,99.990,0.728,0.203,g
2460394.75464,2024-03-25.2553528,bD,1.59,16.100,>16.100,99.990,1.171,0.264,g
2460394.75590,2024-03-25.2566077,bD,1.65,16.034,>16.034,99.990,1.147,0.280,g
2460396.74614,2024-03-27.2469839,bD,1.49,17.275,16.697,0.129,0.761,0.089,g
2460396.74738,2024-03-27.2482291,bD,1.49,17.210,16.428,0.107,0.974,0.095,g
2460396.74863,2024-03-27.2494677,bD,1.51,17.352,16.432,0.094,0.972,0.083,g
2460397.74638,2024-03-28.2472997,bD,1.5,17.299,16.684,0.124,0.770,0.087,g
2460397.74764,2024-03-28.2485508,bD,1.55,17.327,16.423,0.095,0.979,0.085,g
2460397.74888,2024-03-28.2497880,bD,1.49,17.355,16.662,0.116,0.786,0.083,g
2460398.76348,2024-03-29.2644652,bD,1.51,17.189,16.275,0.094,1.122,0.097,g
2460398.76474,2024-03-29.2657091,bD,1.57,17.239,16.277,0.090,1.119,0.093,g
2460398.76598,2024-03-29.2669590,bD,1.58,17.225,16.224,0.087,1.176,0.094,g
2460399.75990,2024-03-30.2609453,bD,1.84,17.377,16.286,0.080,1.110,0.081,g
2460399.76116,2024-03-30.2621989,bD,1.73,17.284,16.454,0.102,0.951,0.089,g
2460399.76241,2024-03-30.2634476,bD,1.69,17.299,16.376,0.094,1.022,0.087,g
2460400.75620,2024-03-31.2573012,bD,1.49,17.279,16.368,0.095,1.030,0.089,g
2460400.75744,2024-03-31.2585429,bD,1.46,17.359,16.711,0.121,0.751,0.083,g
2460400.75868,2024-03-31.2597835,bD,1.44,17.315,16.584,0.112,0.844,0.086,g
2460401.75629,2024-04-01.2574662,bD,1.49,17.370,16.566,0.104,0.858,0.082,g
2460401.75753,2024-04-01.2587151,bD,1.53,17.243,16.495,0.110,0.916,0.092,g
2460401.75880,2024-04-01.2599722,bD,1.53,17.339,16.550,0.106,0.871,0.084,g
2460403.72834,2024-04-03.2296368,bD,2.11,16.536,16.415,0.196,0.986,0.176,g
2460403.72959,2024-04-03.2308914,bD,2.09,16.586,16.414,0.187,0.988,0.169,g
2460403.73083,2024-04-03.2321302,bD,2.13,16.804,16.191,0.125,1.212,0.138,g
2460404.72467,2024-04-04.2260348,bD,1.52,15.933,>15.933,99.990,0.388,0.308,g
2460404.72591,2024-04-04.2272741,bD,1.55,16.090,>16.090,99.990,0.535,0.266,g
2460404.72714,2024-04-04.2285065,bD,1.54,16.436,>16.436,99.990,0.569,0.194,g
2460405.76982,2024-04-05.2712494,bD,2.14,17.240,16.210,0.085,1.191,0.092,g
2460405.77107,2024-04-05.2725037,bD,2.14,17.184,16.370,0.103,1.029,0.097,g
2460405.77232,2024-04-05.2737559,bD,2.13,17.172,16.270,0.095,1.128,0.098,g
2460407.63996,2024-04-07.1415163,bt,1.55,16.992,16.667,0.162,0.781,0.116,g
2460407.64119,2024-04-07.1427403,bt,1.57,16.927,16.211,0.113,1.191,0.123,g
2460407.64241,2024-04-07.1439576,bt,1.62,17.058,16.319,0.111,1.077,0.109,g
2460408.64022,2024-04-08.1418296,bt,1.52,17.167,16.357,0.104,1.040,0.099,g
2460408.64144,2024-04-08.1430502,bt,1.5,17.192,16.426,0.108,0.976,0.097,g
2460408.64267,2024-04-08.1442746,bt,1.5,17.191,16.302,0.097,1.095,0.097,g
2460411.62683,2024-04-11.1286319,bt,1.48,17.315,16.477,0.101,0.932,0.086,g
2460411.62805,2024-04-11.1298479,bt,1.43,17.290,16.493,0.105,0.918,0.088,g
2460411.62929,2024-04-11.1310792,bt,1.47,17.343,16.512,0.102,0.902,0.084,g
2460416.61426,2024-04-16.1163509,bt,1.57,16.304,>16.304,99.990,0.790,0.218,g
2460416.61548,2024-04-16.1175671,bt,1.52,16.288,>16.288,99.990,0.710,0.222,g
2460416.61669,2024-04-16.1187903,bt,1.65,16.261,16.116,0.192,1.300,0.227,g
2460417.61093,2024-04-17.1130798,bt,1.54,16.193,>16.193,99.990,1.083,0.242,g
2460417.61214,2024-04-17.1142959,bt,1.58,16.300,>16.300,99.990,0.803,0.219,g
2460417.61337,2024-04-17.1155274,bt,1.56,16.099,>16.099,99.990,0.547,0.264,g
2460418.60757,2024-04-18.1097835,bt,1.55,16.556,16.416,0.193,0.986,0.173,g
2460418.60880,2024-04-18.1110076,bt,1.52,16.600,>16.600,99.990,0.679,0.166,g
2460418.61002,2024-04-18.1122251,bt,1.52,16.576,>16.576,99.990,0.627,0.170,g
2460419.60441,2024-04-19.1066790,bt,1.62,16.561,16.086,0.142,1.336,0.173,g
2460419.60563,2024-04-19.1079012,bt,1.66,16.417,>16.417,99.990,0.906,0.197,g
2460419.60686,2024-04-19.1091196,bt,1.65,16.476,16.025,0.145,1.413,0.187,g
2460423.59755,2024-04-23.1000254,bt,1.99,15.972,>15.972,99.990,1.082,0.297,g
2460428.60268,2024-04-28.1054201,bt,1.69,16.078,>16.078,99.990,1.275,0.269,g
2460428.60391,2024-04-28.1066412,bt,1.78,16.271,>16.271,99.990,0.805,0.225,g
2460428.60512,2024-04-28.1078611,bt,2.03,16.327,16.172,0.190,1.234,0.214,g
2460518.12173,2024-07-26.6248313,bD,1.67,16.145,15.637,0.137,2.018,0.253,g
2460518.12298,2024-07-26.6260778,bD,1.72,16.080,>16.080,99.990,1.130,0.269,g
2460518.12423,2024-07-26.6273298,bD,1.97,15.777,15.630,0.192,2.032,0.355,g
2460520.11736,2024-07-28.6203815,bD,1.5,16.562,>16.562,99.990,0.702,0.172,g
2460520.11863,2024-07-28.6216396,bD,1.63,16.508,16.097,0.150,1.323,0.181,g
2460520.11987,2024-07-28.6228836,bD,1.57,16.464,16.292,0.187,1.105,0.189,g
2460521.12356,2024-07-29.6265354,bD,1.5,16.182,>16.182,99.990,0.449,0.244,g
2460521.12483,2024-07-29.6277935,bD,1.5,16.159,>16.159,99.990,1.106,0.250,g
2460521.12607,2024-07-29.6290373,bD,1.54,15.853,>15.853,99.990,1.284,0.331,g
2460530.12498,2024-08-07.6275111,bD,1.56,16.475,16.294,0.186,1.103,0.187,g
2460530.12622,2024-08-07.6287549,bD,1.67,16.632,16.509,0.196,0.904,0.162,g
2460530.12746,2024-08-07.6299934,bD,1.69,16.439,>16.439,99.990,0.915,0.193,g
2460531.12459,2024-08-08.6270622,bD,1.61,16.766,>16.766,99.990,0.492,0.143,g
2460531.12584,2024-08-08.6283153,bD,1.6,16.581,16.336,0.175,1.061,0.169,g
2460531.12709,2024-08-08.6295699,bD,1.65,16.432,>16.432,99.990,0.737,0.194,g
2460537.12937,2024-08-14.6315210,bD,1.69,16.419,16.125,0.167,1.288,0.197,g
2460537.13062,2024-08-14.6327710,bD,1.6,16.373,>16.373,99.990,0.863,0.205,g
2460537.13185,2024-08-14.6340046,bD,1.63,16.046,16.040,0.218,1.393,0.277,g
2460545.06080,2024-08-22.5624825,bD,1.55,16.357,>16.357,99.990,0.678,0.208,g
2460545.06205,2024-08-22.5637322,bD,1.6,16.413,16.328,0.203,1.069,0.198,g
2460545.06330,2024-08-22.5649763,bD,1.59,16.486,>16.486,99.990,0.842,0.185,g
2460546.92656,2024-08-24.4281231,bt,1.54,16.509,>16.509,99.990,0.865,0.181,g
2460546.92778,2024-08-24.4293436,bt,1.47,16.709,>16.709,99.990,0.309,0.150,g
2460547.93220,2024-08-25.4336968,bt,1.56,16.694,>16.694,99.990,0.674,0.153,g
2460547.93341,2024-08-25.4349118,bt,1.56,16.678,>16.678,99.990,0.495,0.155,g
2460547.93463,2024-08-25.4361370,bt,1.54,16.673,16.186,0.140,1.218,0.156,g
2460555.03308,2024-09-01.5341291,bD,1.43,17.279,16.424,0.100,0.978,0.089,g
2460555.03433,2024-09-01.5353775,bD,1.47,17.246,16.587,0.119,0.842,0.092,g
2460555.03559,2024-09-01.5366341,bD,1.48,17.308,16.541,0.108,0.878,0.087,g
2460557.02489,2024-09-03.5258089,bD,1.57,17.336,16.720,0.124,0.744,0.085,g
2460557.02613,2024-09-03.5270479,bD,1.6,17.312,16.337,0.089,1.059,0.086,g
2460557.02737,2024-09-03.5282862,bD,1.57,17.207,16.523,0.117,0.893,0.095,g
2460559.05345,2024-09-05.5542376,bD,1.48,17.360,16.434,0.093,0.969,0.083,g
2460559.05470,2024-09-05.5554819,bD,1.48,17.273,16.571,0.115,0.854,0.090,g
2460559.05594,2024-09-05.5567295,bD,1.49,17.292,16.574,0.113,0.852,0.088,g
2460563.02607,2024-09-09.5265850,bD,1.48,17.360,16.344,0.086,1.054,0.083,g
2460563.02731,2024-09-09.5278243,bD,1.47,17.353,16.309,0.084,1.087,0.083,g
