HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459581.63500,2022-01-02.1370438,bG,1.46,16.968,>16.968,99.990,0.173,0.119,g
2459583.55486,2022-01-04.0569357,bG,1.71,17.006,>17.006,99.990,0.127,0.115,g
2459583.55617,2022-01-04.0582476,bG,1.65,17.021,>17.021,99.990,-0.068,0.113,g
2459583.55747,2022-01-04.0595438,bG,1.72,16.937,>16.937,99.990,0.192,0.122,g
2459584.29370,2022-01-04.7957863,bo,2.10,16.540,>16.540,99.990,0.489,0.176,g
2459584.29634,2022-01-04.7984335,bo,2.07,16.659,>16.659,99.990,0.252,0.158,g
2459585.34940,2022-01-05.8514991,bo,1.53,16.988,>16.988,99.990,0.020,0.116,g
2459585.35067,2022-01-05.8527815,bo,1.55,16.905,>16.905,99.990,0.095,0.126,g
2459585.35191,2022-01-05.8540219,bo,1.53,16.948,>16.948,99.990,0.050,0.121,g
2459585.63418,2022-01-06.1362848,bG,1.66,16.939,>16.939,99.990,0.230,0.122,g
2459585.63677,2022-01-06.1388869,bG,1.72,17.011,>17.011,99.990,0.088,0.114,g
2459586.29445,2022-01-06.7965731,bo,1.66,16.456,>16.456,99.990,0.084,0.190,g
2459586.29569,2022-01-06.7978149,bo,1.72,16.668,>16.668,99.990,-0.052,0.156,g
2459586.29696,2022-01-06.7990790,bo,1.60,16.678,>16.678,99.990,-0.094,0.155,g
2459587.30768,2022-01-07.8098187,bo,2.29,16.569,>16.569,99.990,0.278,0.171,g
2459587.30893,2022-01-07.8110747,bo,2.31,16.433,>16.433,99.990,-0.053,0.194,g
2459587.31017,2022-01-07.8123118,bo,2.32,16.610,>16.610,99.990,0.246,0.165,g
2459587.52971,2022-01-08.0318616,bG,1.44,15.708,>15.708,99.990,-0.172,0.378,g
2459587.53102,2022-01-08.0331679,bG,1.49,15.740,>15.740,99.990,0.169,0.367,g
2459587.53232,2022-01-08.0344659,bG,1.45,16.014,>16.014,99.990,0.368,0.285,g
2459588.54522,2022-01-09.0473761,bG,2.18,16.522,>16.522,99.990,0.064,0.179,g
2459588.54653,2022-01-09.0486785,bG,2.14,16.707,>16.707,99.990,-0.138,0.151,g
2459588.54781,2022-01-09.0499734,bG,2.12,16.614,>16.614,99.990,0.276,0.164,g
2459589.54097,2022-01-10.0431366,bk,1.46,16.371,>16.371,99.990,0.174,0.205,g
2459589.54221,2022-01-10.0443752,bk,1.52,16.254,>16.254,99.990,0.416,0.229,g
2459589.54345,2022-01-10.0456192,bk,1.41,16.319,>16.319,99.990,0.091,0.216,g
2459591.29839,2022-01-11.8005831,bo,1.58,16.357,>16.357,99.990,-0.007,0.208,g
2459591.29972,2022-01-11.8019069,bo,1.55,16.256,>16.256,99.990,0.509,0.228,g
2459591.30112,2022-01-11.8033091,bo,1.54,16.409,>16.409,99.990,0.296,0.198,g
2459592.57464,2022-01-13.0768430,bG,1.51,16.253,>16.253,99.990,-0.204,0.229,g
2459592.57594,2022-01-13.0781402,bG,1.50,16.238,>16.238,99.990,-0.005,0.232,g
2459592.57721,2022-01-13.0794153,bG,1.48,16.275,>16.275,99.990,0.280,0.224,g
2459593.29267,2022-01-13.7948914,bo,1.59,16.087,>16.087,99.990,-0.044,0.267,g
2459593.29393,2022-01-13.7961380,bo,1.52,15.866,>15.866,99.990,0.625,0.327,g
2459593.29517,2022-01-13.7973767,bo,1.60,15.942,>15.942,99.990,0.032,0.305,g
2459593.58199,2022-01-14.0842083,bG,1.43,15.985,>15.985,99.990,0.457,0.293,g
2459593.58327,2022-01-14.0854898,bG,1.49,15.789,>15.789,99.990,0.696,0.351,g
2459593.58456,2022-01-14.0867778,bG,1.50,15.878,>15.878,99.990,-0.214,0.323,g
2459595.53051,2022-01-16.0327436,bG,1.43,15.528,>15.528,99.990,-0.965,0.447,g
2459595.53181,2022-01-16.0340402,bG,1.46,15.513,>15.513,99.990,-0.157,0.453,g
2459595.53309,2022-01-16.0353277,bG,1.46,15.822,>15.822,99.990,0.797,0.341,g
