2455646.50995 20.275 0.128 5.90 430.0
2455647.51189 20.040 0.080 4.87 376.0
2455648.51178 20.360 0.125 5.65 422.0
2455649.52733 20.625 0.167 5.59 502.0
2455650.50776 20.450 0.107 4.44 437.0
2455651.51370 20.056 0.070 4.58 355.0
2455652.50863 20.277 0.098 4.88 410.0
2455653.53872 20.446 0.115 4.46 404.0
2455654.54726 20.179 0.109 5.37 400.0
2455655.53842 20.286 0.103 5.36 387.0
2455656.54731 19.913 0.071 5.25 390.0
2455657.50726 20.297 0.128 5.77 492.0
2455659.50654 20.570 0.125 5.10 394.0
2455660.55195 20.292 0.106 5.38 381.0
2455664.48614 20.416 0.205 7.00 645.0
2455665.50138 20.313 0.169 6.24 697.0
2455667.48037 20.157 0.144 5.80 683.0
2455668.48590 20.108 0.125 5.54 671.0
2455669.47991 20.126 0.114 4.54 877.0
2455670.53141 20.376 0.159 5.05 776.0
2455671.48176 20.295 0.197 6.82 724.0
2455672.47624 20.155 0.116 5.13 655.0
2455674.48474 20.590 0.167 5.97 456.0
2455675.47761 20.277 0.164 6.80 552.0
2455676.53252 20.568 0.069 3.62 206.0
2455677.47433 20.364 0.112 4.41 556.0
2455678.50854 20.544 0.127 4.57 462.0
2455679.47620 20.488 0.141 5.30 448.0
2455680.52427 20.159 0.112 4.79 516.0
2455681.48730 20.300 0.131 6.31 406.0
2455682.48839 20.346 0.150 6.04 558.0
2455683.49291 20.377 0.147 4.74 806.0
2455684.49699 20.329 0.138 4.57 571.0
2455685.46954 20.331 0.164 5.68 626.0
2455686.47043 20.315 0.101 4.13 579.0
2455687.47117 20.569 0.194 6.22 586.0
2455691.46412 20.195 0.148 5.58 864.0
2455692.51198 20.155 0.173 6.99 1136.0
2455694.47720 20.396 0.182 5.12 897.0
2455695.46467 20.291 0.127 4.43 684.0
2455696.47357 20.545 0.244 6.04 817.0
2455697.46347 20.378 0.158 4.34 950.0
2455699.47301 19.758 0.139 6.75 1191.0
2455700.46460 20.388 0.193 6.26 813.0
2455702.46149 20.025 0.121 6.16 677.0
2455706.46037 20.720 0.243 6.01 987.0
2455709.44830 20.211 0.227 5.54 2149.0
2455783.93814 20.780 0.222 4.23 1236.0
2455795.92766 20.277 0.133 6.18 505.0
2455803.87297 20.354 0.101 5.16 374.0
2455805.83745 20.774 0.164 5.23 438.0
2455806.88844 20.398 0.103 5.13 340.0
2455809.84970 20.378 0.077 4.31 272.0
2455810.85281 20.226 0.108 5.58 424.0
2455812.84560 20.090 0.074 4.88 355.0
2455814.86242 20.540 0.160 5.71 534.0
2455815.87406 20.637 0.143 4.82 498.0
2455816.84818 20.172 0.146 6.43 656.0
2455817.84879 20.362 0.120 5.10 541.0
2455818.87790 20.393 0.119 4.71 565.0
2455819.83185 20.274 0.104 4.97 510.0
2455820.89930 20.285 0.099 4.90 437.0
2455822.81951 20.554 0.121 4.95 384.0
2455823.89439 20.264 0.106 6.00 345.0
2455824.81635 20.284 0.094 5.22 333.0
2455825.80461 20.281 0.088 5.10 325.0
2455826.85307 20.369 0.096 4.81 325.0
2455827.84706 20.278 0.081 4.46 327.0
2455828.87328 20.205 0.073 4.10 395.0
2455829.84667 20.312 0.069 4.31 281.0
2455830.83822 20.615 0.110 4.82 290.0
2455831.82988 20.105 0.058 4.18 290.0
2455832.81933 20.434 0.090 5.19 235.0
2455833.80366 20.285 0.102 5.83 319.0
2455834.80459 20.289 0.071 4.00 321.0
2455835.86450 20.551 0.124 5.75 272.0
2455836.76848 20.194 0.070 4.50 325.0
2455837.84985 20.248 0.090 5.00 368.0
2455839.83198 20.009 0.074 5.56 318.0
2455840.81496 20.174 0.075 4.33 371.0
2455841.81196 20.367 0.110 5.21 391.0
2455842.83014 20.208 0.132 6.72 422.0
2455843.84562 20.336 0.101 4.84 454.0
2455845.85988 20.163 0.163 7.43 575.0
2455846.82110 20.221 0.192 6.99 748.0
2455850.78492 20.516 0.116 4.83 444.0
2455851.79400 20.339 0.121 5.66 453.0
2455852.77772 20.035 0.126 7.71 370.0
2455853.84746 20.403 0.161 6.89 406.0
2455854.75277 20.413 0.107 5.09 371.0
2455855.82249 20.346 0.082 4.00 406.0
2455856.79406 20.139 0.140 7.48 456.0
2455857.77839 20.391 0.140 6.61 352.0
2455858.82827 20.066 0.130 7.67 400.0
2455859.79680 20.339 0.093 4.44 399.0
2455860.78185 20.206 0.091 5.07 365.0
2455861.79085 20.079 0.094 5.45 417.0
2455863.79278 20.265 0.084 4.66 364.0
2455864.70136 20.296 0.078 4.04 388.0
2455865.77092 20.243 0.096 4.57 451.0
2455866.79505 20.227 0.086 4.75 390.0
2455867.73395 20.725 0.135 4.85 391.0
2455868.83543 20.417 0.091 4.09 378.0
2455869.80093 20.278 0.077 4.19 374.0
2455870.74072 20.244 0.089 4.35 463.0
2455871.72681 20.165 0.076 4.28 413.0
2455872.73616 20.446 0.098 3.95 449.0
2455873.73138 20.254 0.111 4.35 680.0
2455874.76495 20.711 0.209 6.28 484.0
2455875.70089 20.270 0.123 5.24 611.0
2455878.73832 20.717 0.270 6.98 666.0
2455880.73736 20.847 0.206 5.19 592.0
2455880.78837 20.018 0.112 6.53 462.0
2455881.72396 20.002 0.073 4.45 456.0
2455882.75472 20.412 0.107 4.88 395.0
2455883.75869 20.902 0.218 6.01 470.0
2455885.68996 20.289 0.173 7.39 453.0
2455886.72604 20.420 0.181 7.07 485.0
2455887.79840 20.445 0.086 3.72 421.0
2455888.78706 20.464 0.132 5.28 477.0
2455889.82926 20.243 0.113 5.56 441.0
2455890.76280 20.341 0.089 4.47 386.0
2455891.72144 20.340 0.116 4.92 507.0
2455892.73920 20.113 0.094 5.22 440.0
2455893.75732 20.113 0.074 4.38 358.0
2455894.78074 20.351 0.097 5.19 349.0
2455895.79786 20.064 0.087 5.14 394.0
2455896.78090 20.735 0.143 4.96 377.0
2455897.72773 20.140 0.073 4.56 316.0
2455898.70991 20.178 0.093 4.95 427.0
2455899.76908 20.730 0.153 5.35 343.0
2455900.71871 20.314 0.095 5.01 337.0
2455901.76801 20.230 0.115 5.27 551.0
2455903.77443 20.582 0.155 5.09 582.0
2455904.74903 20.445 0.127 4.61 654.0
2455905.72309 20.044 0.095 4.20 755.0
2455906.73498 20.207 0.120 4.49 884.0
2455907.71134 20.874 0.197 4.66 588.0
2455908.73829 20.211 0.128 5.20 706.0
2455909.78288 20.095 0.101 4.96 614.0
2455910.69564 20.411 0.112 4.50 478.0
2455911.72749 20.319 0.089 4.31 387.0
2455912.74797 20.460 0.105 4.32 421.0
2455913.71990 20.366 0.089 4.61 308.0
2455914.74255 20.272 0.076 4.75 268.0
2455915.69956 20.451 0.091 4.90 252.0
2455916.75344 20.349 0.083 4.66 295.0
2455917.71708 20.199 0.080 5.10 286.0
2455922.73411 20.145 0.064 4.51 261.0
2455923.71034 20.516 0.086 4.22 266.0
2455924.69164 20.617 0.118 4.36 382.0
2455925.70569 20.374 0.128 6.16 374.0
2455926.71748 20.232 0.083 5.35 241.0
2455927.71648 20.425 0.120 5.13 376.0
2455929.69065 20.071 0.084 4.90 420.0
2455930.83580 19.941 0.072 5.63 263.0
2455931.65622 20.197 0.113 5.05 472.0
2455932.65364 20.302 0.107 4.14 562.0
2455933.70483 20.397 0.144 4.62 829.0
2455934.70088 20.159 0.093 4.54 566.0
2455936.64597 20.291 0.136 4.94 803.0
2455937.67574 20.393 0.104 3.82 570.0
2455938.67648 20.283 0.101 4.78 436.0
2455939.72028 20.120 0.092 3.83 686.0
2455940.75620 20.463 0.119 5.29 332.0
2455941.75615 20.266 0.118 5.01 596.0
2455942.78050 20.190 0.081 4.99 309.0
2455943.73800 20.212 0.097 4.45 495.0
2455944.73123 20.653 0.105 4.66 259.0
2455945.71154 20.273 0.075 4.06 360.0
2455946.65138 20.222 0.078 4.83 271.0
2455946.76774 19.977 0.080 5.15 350.0
2455947.71832 20.281 0.109 5.58 373.0
2455948.70714 20.567 0.130 5.70 292.0
2455949.72333 20.188 0.102 5.99 349.0
2455950.64432 20.266 0.085 5.51 256.0
2455951.66966 20.594 0.145 5.00 485.0
2455952.69429 20.212 0.073 5.41 206.0
2455953.69222 20.612 0.138 5.69 366.0
2455954.68977 20.289 0.064 4.09 232.0
2455955.71237 20.179 0.085 4.77 388.0
2455956.71244 20.238 0.072 4.13 284.0
2455958.72961 20.129 0.068 4.95 259.0
2455959.70160 20.272 0.089 4.95 321.0
2455960.70365 20.662 0.134 5.18 348.0
2455961.63538 20.369 0.088 4.14 422.0
2455962.63629 20.152 0.142 6.96 536.0
2455963.60300 19.978 0.128 5.58 965.0
2455964.61499 20.383 0.144 5.34 653.0
2455965.61392 20.269 0.112 3.94 741.0
2455967.63604 20.276 0.145 6.19 541.0
2455968.63613 20.525 0.136 5.45 426.0
2455969.61216 20.261 0.085 4.91 329.0
2455970.58966 20.192 0.074 4.28 324.0
2455971.68255 20.119 0.072 4.64 340.0
2455972.66895 20.522 0.099 4.15 334.0
2455973.65198 20.498 0.078 4.07 237.0
2455974.60704 20.160 0.094 6.21 242.0
2455976.64120 20.486 0.121 5.66 322.0
2455977.67474 20.366 0.108 5.01 371.0
