HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459560.30847,2021-12-11.8099954,bp,1.53,16.042,>16.042,99.990,0.609,0.278,g
2459560.38369,2021-12-11.8852126,bp,1.53,15.965,>15.965,99.990,0.580,0.299,g
2459560.38493,2021-12-11.8864534,bp,1.60,16.124,>16.124,99.990,0.430,0.258,g
2459560.38617,2021-12-11.8876921,bp,1.55,16.136,>16.136,99.990,1.040,0.255,g
2459560.67634,2021-12-12.1778707,bH,1.44,15.942,>15.942,99.990,0.244,0.305,g
2459560.67763,2021-12-12.1791627,bH,1.48,15.960,>15.960,99.990,0.845,0.300,g
2459560.67890,2021-12-12.1804375,bH,1.46,16.022,>16.022,99.990,0.321,0.283,g
2459561.68393,2021-12-13.1854960,bH,1.50,15.781,>15.781,99.990,0.509,0.354,g
2459561.68523,2021-12-13.1867960,bH,1.47,16.006,>16.006,99.990,0.625,0.288,g
2459561.68651,2021-12-13.1880803,bH,1.5,15.917,>15.917,99.990,0.556,0.312,g
2459562.59361,2021-12-14.0952068,bH,1.50,16.233,>16.233,99.990,0.594,0.233,g
2459562.59492,2021-12-14.0965159,bH,1.49,15.926,>15.926,99.990,1.368,0.310,g
2459562.59622,2021-12-14.0978170,bH,1.50,16.055,>16.055,99.990,0.526,0.275,g
2459563.35775,2021-12-14.8593721,bp,1.58,15.838,>15.838,99.990,0.134,0.336,g
2459563.35900,2021-12-14.8606221,bp,1.57,15.915,>15.915,99.990,0.824,0.313,g
2459563.36023,2021-12-14.8618591,bp,1.54,15.890,>15.890,99.990,0.533,0.320,g
2459563.37296,2021-12-14.8745803,bp,1.50,15.895,>15.895,99.990,0.660,0.318,g
2459563.37421,2021-12-14.8758331,bp,1.52,16.072,>16.072,99.990,0.285,0.271,g
2459563.37545,2021-12-14.8770737,bp,1.54,15.886,>15.886,99.990,1.192,0.321,g
2459563.54339,2021-12-15.0450246,bl,1.48,15.822,>15.822,99.990,0.781,0.341,g
2459563.54463,2021-12-15.0462625,bl,1.46,15.811,>15.811,99.990,0.058,0.344,g
2459563.54590,2021-12-15.0475193,bl,1.46,16.032,>16.032,99.990,0.608,0.281,g
2459563.64603,2021-12-15.1476578,bH,1.47,15.778,>15.778,99.990,0.643,0.355,g
2459563.64732,2021-12-15.1489486,bH,1.42,15.818,>15.818,99.990,0.150,0.342,g
2459563.64864,2021-12-15.1502694,bH,1.48,15.906,>15.906,99.990,0.553,0.315,g
2459564.29910,2021-12-15.8007495,bp,1.57,14.884,>14.884,99.990,0.851,0.808,g
2459564.30033,2021-12-15.8019807,bp,1.57,15.647,>15.647,99.990,0.794,0.400,g
2459564.30156,2021-12-15.8032143,bp,1.47,15.899,>15.899,99.990,-0.069,0.317,g
2459564.39516,2021-12-15.8968064,bp,1.44,15.850,>15.850,99.990,0.384,0.332,g
2459564.39640,2021-12-15.8980479,bp,1.47,15.825,>15.825,99.990,0.356,0.340,g
2459564.39764,2021-12-15.8992895,bp,1.53,15.781,>15.781,99.990,0.845,0.354,g
2459564.55131,2021-12-16.0529693,bl,1.48,15.753,>15.753,99.990,0.627,0.363,g
2459564.55256,2021-12-16.0542238,bl,1.56,15.769,>15.769,99.990,0.924,0.358,g
2459564.55380,2021-12-16.0554626,bl,1.48,15.901,>15.901,99.990,0.474,0.317,g
