2453001.58463  19.921   0.147
2453005.54270  20.066   0.204
2453008.56901  19.823   0.188
2453011.57240  20.205   0.322
2453018.58551  19.976   0.158
2453020.61359  20.032   0.151
2453021.62639  20.262   0.150
2453023.58232  19.971   0.138
2453025.58873  19.749   0.126
2453027.61431  20.068   0.191
2453029.58619  19.790   0.139
2453031.59078  20.044   0.141
2453033.59310  20.198   0.185
2453037.54015  20.370   0.294
2453164.94055  20.239   0.284
2453177.92831  19.721   0.177
2453183.92251  19.748   0.165
2453193.89029  20.751   0.493
2453196.86243  20.006   0.129
2453197.92494  20.080   0.192
2453199.92919  19.602   0.172
2453201.88237  20.845   0.364
2453203.89033  20.031   0.119
2453206.82816  20.434   0.334
2453210.90422  20.101   0.174
2453211.89561  19.906   0.149
2453215.67175  19.972   0.233
2453216.73978  19.739   0.194
2453217.94025  19.997   0.257
2453218.93031  19.644   0.195
2453222.87237  20.329   0.283
2453223.84574  20.387   0.290
2453226.83599  19.956   0.224
2453229.84314  20.290   0.157
2453231.82525  19.828   0.221
2453239.80365  19.892   0.142
2453240.80089  19.916   0.192
2453241.82523  19.839   0.170
2453242.72460  20.149   0.210
2453243.86102  20.068   0.195
2453244.83825  20.206   0.232
2453245.78735  20.229   0.240
2453247.77356  19.926   0.169
2453249.73825  19.983   0.171
2453251.75176  19.937   0.117
2453254.73889  20.295   0.168
2453257.75534  20.038   0.097
2453259.67449  19.950   0.157
2453261.71257  20.198   0.139
2453263.69528  20.372   0.152
2453265.72968  20.311   0.166
2453267.71849  19.833   0.127
2453269.81242  20.756   0.419
2453270.75177  20.203   0.202
2453271.67459  20.207   0.193
2453272.73182  20.229   0.178
2453274.71765  19.937   0.178
2453276.72210  19.999   0.181
2453277.76086  19.939   0.159
2453279.69246  19.979   0.136
2453281.65118  20.477   0.222
2453283.65268  20.107   0.123
2453287.61884  20.169   0.185
2453289.62995  20.473   0.227
2453293.60668  19.974   0.136
2453295.62551  20.201   0.120
2453297.60732  20.200   0.136
2453299.66366  20.573   0.193
2453301.63787  20.813   0.492
2453303.70014  19.690   0.166
2453306.63267  19.950   0.107
2453308.62043  20.141   0.218
2453310.61952  19.935   0.163
2453314.57437  19.866   0.211
2453320.61225  20.194   0.173
2453323.55573  20.098   0.181
2453327.56722  20.347   0.234
2453330.56146  19.910   0.171
2453335.60630  19.600   0.145
2453349.60620  20.361   0.152
2453353.58535  20.118   0.154
2453359.56187  19.835   0.142
2453363.56922  19.708   0.145
2453367.62855  20.008   0.167
2453372.55929  19.986   0.147
2453376.53862  20.136   0.159
2453378.60554  20.119   0.186
2453386.57203  20.339   0.169
2453390.58558  19.883   0.201
2453398.56735  20.520   0.267
2453402.55577  19.981   0.117
2453541.94064  20.169   0.159
2453547.92522  20.060   0.175
2453554.93343  19.824   0.148
2453561.85763  20.104   0.127
2453564.91771  20.079   0.117
2453568.84856  20.313   0.202
2453571.81161  20.001   0.269
2453573.85729  19.915   0.212
2453574.88814  19.960   0.172
2453578.90531  20.885   0.283
2453579.81017  19.998   0.128
2453581.85511  20.065   0.213
2453581.87966  20.757   0.370
2453582.83996  20.477   0.274
2453583.84999  20.222   0.161
2453584.81609  19.989   0.145
2453586.81872  20.310   0.145
2453588.83658  20.221   0.167
2453589.83150  20.071   0.145
2453591.88423  20.382   0.137
2453593.87051  20.349   0.258
2453596.90222  20.428   0.182
2453601.81983  20.160   0.209
2453607.82527  20.073   0.141
2453614.79664  20.003   0.102
2453617.77908  19.985   0.122
2453619.70906  20.104   0.143
2453621.72752  20.086   0.130
2453624.87581  19.981   0.194
2453626.72520  20.077   0.173
2453629.67882  20.219   0.273
2453633.71746  20.265   0.257
2453637.66044  19.917   0.161
2453639.71050  20.191   0.117
2453641.70704  20.270   0.173
2453643.73143  19.777   0.101
2453646.67056  20.025   0.156
2453650.66963  19.963   0.146
2453650.69369  19.910   0.126
2453651.74360  19.915   0.114
2453653.73978  20.314   0.185
2453655.70593  20.108   0.130
2453657.65963  20.095   0.131
2453658.67176  20.103   0.167
2453659.65183  19.977   0.192
2453660.67934  20.406   0.298
2453665.64651  20.027   0.157
2453668.58285  20.309   0.186
2453669.71372  20.105   0.168
2453671.64250  20.119   0.141
2453673.68460  19.978   0.164
2453675.66919  20.493   0.207
2453683.65853  20.286   0.168
2453685.66369  20.457   0.186
2453687.66396  20.493   0.248
2453689.61552  19.965   0.155
2453692.58651  20.058   0.177
2453694.57051  19.988   0.165
2453696.57106  20.279   0.160
2453698.60472  19.576   0.164
2453700.61472  20.315   0.235
2453702.59497  19.983   0.154
2453704.60125  20.657   0.259
2453706.62171  20.303   0.144
2453708.59864  20.256   0.209
2453711.60115  20.315   0.250
2453714.53488  20.542   0.349
2453718.61542  20.783   0.514
2453721.56903  20.118   0.175
2453724.57404  20.040   0.153
2453726.59454  20.341   0.238
2453728.56769  19.743   0.155
